Place,Taluk,Category,Best_Season,Avg_Visitors_Per_Month,Crowd_Level,Entry_Fee,Distance_From_Gokarna_KM,Popularity_Score,Eco_Sensitivity
Om Beach,Gokarna,Beach,Winter,5200,High,0,0,9,High
Kudle Beach,Gokarna,Beach,Winter,4800,High,0,2,9,High
Half Moon Beach,Gokarna,Beach,Winter,1900,Low,0,6,7,High
Paradise Beach,Gokarna,Beach,Summer,1500,Low,0,7,7,High
Mahabaleshwar Temple,Gokarna,Temple,All,3500,Medium,0,1,8,Medium
Mirjan Fort,Kumta,Heritage,Monsoon,1200,Low,20,22,6,Medium
Yana Rocks,Kumta,Trekking,Winter,2600,Medium,30,50,8,High
Jog Falls,Sagar,Waterfall,Monsoon,9000,High,100,120,10,High
Apsarakonda Falls,Honnavar,Waterfall,Monsoon,1800,Low,20,40,7,High
Sharavathi Backwaters,Honnavar,Nature,Winter,2200,Medium,50,35,8,Medium
Murudeshwar Temple,Murudeshwar,Temple,All,7000,High,0,80,10,Medium
Netrani Island,Murudeshwar,Adventure,Winter,900,Low,1500,85,8,High
Kali River Dandeli,Dandeli,Adventure,Winter,3200,Medium,500,110,9,Medium
Sathodi Falls,Yellapur,Waterfall,Monsoon,2400,Medium,30,95,8,High
Magod Falls,Yellapur,Waterfall,Monsoon,1600,Low,20,90,7,High
